customer_id,date,type,category,amount,description,month
SBI10000,2024-01-01,credit,salary,30373,SALARY CREDIT,1
SBI10000,2024-01-03,credit,savings_transfer,4639,SELF TRANSFER TO SAVINGS,1
SBI10000,2024-01-05,debit,fuel,2801,FUEL PURCHASE,1
SBI10000,2024-01-06,debit,shopping,7376,SHOPPING PURCHASE,1
SBI10000,2024-01-08,debit,shopping,6673,SHOPPING PURCHASE,1
SBI10000,2024-01-09,debit,entertainment,1246,ENTERTAINMENT PURCHASE,1
SBI10000,2024-01-11,debit,dining,1599,DINING PURCHASE,1
SBI10000,2024-01-13,debit,groceries,3834,GROCERIES PURCHASE,1
SBI10000,2024-01-14,debit,groceries,2087,GROCERIES PURCHASE,1
SBI10000,2024-01-24,debit,groceries,3712,GROCERIES PURCHASE,1
SBI10000,2024-01-24,debit,shopping,5943,SHOPPING PURCHASE,1
SBI10000,2024-01-25,debit,travel,4897,TRAVEL PURCHASE,1
SBI10000,2024-01-26,debit,shopping,6935,SHOPPING PURCHASE,1
SBI10000,2024-01-31,credit,salary,30745,SALARY CREDIT,2
SBI10000,2024-02-01,debit,groceries,3546,GROCERIES PURCHASE,2
SBI10000,2024-02-01,debit,shopping,3207,SHOPPING PURCHASE,2
SBI10000,2024-02-02,credit,savings_transfer,5963,SELF TRANSFER TO SAVINGS,2
SBI10000,2024-02-05,debit,shopping,1818,SHOPPING PURCHASE,2
SBI10000,2024-02-05,debit,groceries,1821,GROCERIES PURCHASE,2
SBI10000,2024-02-06,debit,utilities,555,UTILITIES PURCHASE,2
SBI10000,2024-02-07,debit,shopping,5583,SHOPPING PURCHASE,2
SBI10000,2024-02-09,debit,entertainment,1339,ENTERTAINMENT PURCHASE,2
SBI10000,2024-02-13,debit,utilities,283,UTILITIES PURCHASE,2
SBI10000,2024-02-15,debit,shopping,1953,SHOPPING PURCHASE,2
SBI10000,2024-02-23,debit,fuel,1134,FUEL PURCHASE,2
SBI10000,2024-02-25,debit,medical,2610,MEDICAL PURCHASE,2
SBI10000,2024-02-25,debit,travel,1885,TRAVEL PURCHASE,2
SBI10000,2024-02-27,debit,fuel,1423,FUEL PURCHASE,2
SBI10000,2024-03-01,credit,salary,30930,SALARY CREDIT,3
SBI10000,2024-03-03,credit,savings_transfer,1776,SELF TRANSFER TO SAVINGS,3
SBI10000,2024-03-04,debit,medical,1501,MEDICAL PURCHASE,3
SBI10000,2024-03-04,debit,entertainment,915,ENTERTAINMENT PURCHASE,3
SBI10000,2024-03-07,debit,travel,4564,TRAVEL PURCHASE,3
SBI10000,2024-03-08,debit,travel,3018,TRAVEL PURCHASE,3
SBI10000,2024-03-09,debit,fuel,1498,FUEL PURCHASE,3
SBI10000,2024-03-13,debit,medical,1402,MEDICAL PURCHASE,3
SBI10000,2024-03-15,debit,dining,1312,DINING PURCHASE,3
SBI10000,2024-03-19,debit,fuel,536,FUEL PURCHASE,3
SBI10000,2024-03-23,debit,utilities,908,UTILITIES PURCHASE,3
SBI10000,2024-03-26,debit,travel,4645,TRAVEL PURCHASE,3
SBI10000,2024-03-27,debit,fuel,2845,FUEL PURCHASE,3
SBI10000,2024-03-27,debit,utilities,1234,UTILITIES PURCHASE,3
SBI10000,2024-03-31,credit,salary,31300,SALARY CREDIT,4
SBI10000,2024-04-01,debit,shopping,7965,SHOPPING PURCHASE,4
SBI10000,2024-04-02,credit,savings_transfer,1725,SELF TRANSFER TO SAVINGS,4
SBI10000,2024-04-06,debit,utilities,1301,UTILITIES PURCHASE,4
SBI10000,2024-04-09,debit,entertainment,1306,ENTERTAINMENT PURCHASE,4
SBI10000,2024-04-16,debit,fuel,679,FUEL PURCHASE,4
SBI10000,2024-04-17,debit,medical,2283,MEDICAL PURCHASE,4
SBI10000,2024-04-17,debit,medical,537,MEDICAL PURCHASE,4
SBI10000,2024-04-18,debit,travel,3865,TRAVEL PURCHASE,4
SBI10000,2024-04-21,debit,shopping,2077,SHOPPING PURCHASE,4
SBI10000,2024-04-21,debit,groceries,768,GROCERIES PURCHASE,4
SBI10000,2024-04-22,debit,travel,2046,TRAVEL PURCHASE,4
SBI10000,2024-04-24,debit,utilities,514,UTILITIES PURCHASE,4
SBI10000,2024-04-26,debit,entertainment,432,ENTERTAINMENT PURCHASE,4
SBI10000,2024-04-27,debit,entertainment,412,ENTERTAINMENT PURCHASE,4
SBI10000,2024-04-30,credit,salary,30343,SALARY CREDIT,5
SBI10000,2024-05-02,credit,savings_transfer,12076,SELF TRANSFER TO SAVINGS,5
SBI10000,2024-05-03,debit,groceries,800,GROCERIES PURCHASE,5
SBI10000,2024-05-06,debit,groceries,3753,GROCERIES PURCHASE,5
SBI10000,2024-05-09,debit,travel,3639,TRAVEL PURCHASE,5
SBI10000,2024-05-10,debit,utilities,817,UTILITIES PURCHASE,5
SBI10000,2024-05-10,debit,utilities,1096,UTILITIES PURCHASE,5
SBI10000,2024-05-12,debit,utilities,1229,UTILITIES PURCHASE,5
SBI10000,2024-05-13,debit,groceries,3257,GROCERIES PURCHASE,5
SBI10000,2024-05-14,debit,entertainment,847,ENTERTAINMENT PURCHASE,5
SBI10000,2024-05-15,debit,entertainment,1490,ENTERTAINMENT PURCHASE,5
SBI10000,2024-05-18,debit,shopping,1077,SHOPPING PURCHASE,5
SBI10000,2024-05-18,debit,utilities,212,UTILITIES PURCHASE,5
SBI10000,2024-05-23,debit,groceries,3974,GROCERIES PURCHASE,5
SBI10000,2024-05-25,debit,utilities,1399,UTILITIES PURCHASE,5
SBI10000,2024-05-30,credit,salary,30709,SALARY CREDIT,6
SBI10000,2024-05-31,debit,medical,2467,MEDICAL PURCHASE,6
SBI10000,2024-06-01,credit,savings_transfer,11681,SELF TRANSFER TO SAVINGS,6
SBI10000,2024-06-03,debit,dining,285,DINING PURCHASE,6
SBI10000,2024-06-04,debit,travel,3503,TRAVEL PURCHASE,6
SBI10000,2024-06-05,debit,fuel,2685,FUEL PURCHASE,6
SBI10000,2024-06-17,debit,entertainment,1321,ENTERTAINMENT PURCHASE,6
SBI10000,2024-06-18,debit,groceries,2943,GROCERIES PURCHASE,6
SBI10000,2024-06-20,debit,shopping,1680,SHOPPING PURCHASE,6
SBI10000,2024-06-21,debit,shopping,7766,SHOPPING PURCHASE,6
SBI10001,2024-01-01,credit,salary,59703,SALARY CREDIT,1
SBI10001,2024-01-03,credit,savings_transfer,3718,SELF TRANSFER TO SAVINGS,1
SBI10001,2024-01-05,debit,travel,1785,TRAVEL PURCHASE,1
SBI10001,2024-01-05,debit,shopping,2117,SHOPPING PURCHASE,1
SBI10001,2024-01-05,debit,travel,2635,TRAVEL PURCHASE,1
SBI10001,2024-01-06,debit,emi,10071,EMI PAYMENT,1
SBI10001,2024-01-07,debit,dining,576,DINING PURCHASE,1
SBI10001,2024-01-08,debit,utilities,850,UTILITIES PURCHASE,1
SBI10001,2024-01-11,debit,utilities,337,UTILITIES PURCHASE,1
SBI10001,2024-01-12,debit,fuel,1962,FUEL PURCHASE,1
SBI10001,2024-01-15,debit,travel,4498,TRAVEL PURCHASE,1
SBI10001,2024-01-16,debit,fuel,1844,FUEL PURCHASE,1
SBI10001,2024-01-21,debit,travel,2370,TRAVEL PURCHASE,1
SBI10001,2024-01-22,debit,fuel,2751,FUEL PURCHASE,1
SBI10001,2024-01-23,debit,dining,1542,DINING PURCHASE,1
SBI10001,2024-01-29,debit,groceries,3576,GROCERIES PURCHASE,1
SBI10001,2024-01-31,credit,salary,59365,SALARY CREDIT,2
SBI10001,2024-02-02,credit,savings_transfer,8820,SELF TRANSFER TO SAVINGS,2
SBI10001,2024-02-05,debit,emi,10319,EMI PAYMENT,2
SBI10001,2024-02-05,debit,medical,2983,MEDICAL PURCHASE,2
SBI10001,2024-02-06,debit,entertainment,209,ENTERTAINMENT PURCHASE,2
SBI10001,2024-02-08,debit,medical,1107,MEDICAL PURCHASE,2
SBI10001,2024-02-09,debit,entertainment,1920,ENTERTAINMENT PURCHASE,2
SBI10001,2024-02-12,debit,fuel,1751,FUEL PURCHASE,2
SBI10001,2024-02-16,debit,medical,2095,MEDICAL PURCHASE,2
SBI10001,2024-02-18,debit,fuel,945,FUEL PURCHASE,2
SBI10001,2024-02-21,debit,dining,1442,DINING PURCHASE,2
SBI10001,2024-02-26,debit,medical,1495,MEDICAL PURCHASE,2
SBI10001,2024-02-27,debit,utilities,774,UTILITIES PURCHASE,2
SBI10001,2024-03-01,credit,salary,59613,SALARY CREDIT,3
SBI10001,2024-03-03,credit,savings_transfer,10304,SELF TRANSFER TO SAVINGS,3
SBI10001,2024-03-03,debit,travel,4818,TRAVEL PURCHASE,3
SBI10001,2024-03-06,debit,emi,10239,EMI PAYMENT,3
SBI10001,2024-03-06,debit,shopping,4306,SHOPPING PURCHASE,3
SBI10001,2024-03-14,debit,medical,1114,MEDICAL PURCHASE,3
SBI10001,2024-03-14,debit,utilities,945,UTILITIES PURCHASE,3
SBI10001,2024-03-19,debit,shopping,7823,SHOPPING PURCHASE,3
SBI10001,2024-03-22,debit,fuel,1108,FUEL PURCHASE,3
SBI10001,2024-03-25,debit,shopping,7760,SHOPPING PURCHASE,3
SBI10001,2024-03-25,debit,utilities,354,UTILITIES PURCHASE,3
SBI10001,2024-03-26,debit,entertainment,1408,ENTERTAINMENT PURCHASE,3
SBI10001,2024-03-28,debit,groceries,2883,GROCERIES PURCHASE,3
SBI10001,2024-03-29,debit,groceries,2577,GROCERIES PURCHASE,3
SBI10001,2024-03-31,credit,salary,59248,SALARY CREDIT,4
SBI10001,2024-04-02,credit,savings_transfer,3055,SELF TRANSFER TO SAVINGS,4
SBI10001,2024-04-02,debit,groceries,3156,GROCERIES PURCHASE,4
SBI10001,2024-04-03,debit,travel,2465,TRAVEL PURCHASE,4
SBI10001,2024-04-05,debit,emi,10086,EMI PAYMENT,4
